Fiesta Mexicana,3.5,5200 Mormon Coulee Rd,22,Mexican
Rivoli Theatre & Pizzeria,4,117 4th St N,34,Cinema;Pizza
Saxon Hall,4.5,702 Main St,7,Pizza
Coney Island Hot Dogs,3.5,Located in Bridgeview Shopping Center,7,Hot Dogs
The Driftless Axe,4.5,300 4th St S,2,Pizza;Axe Throwing;Beer Bar
Culina Mariana Cafe,4,5250 Justin Rd,3,Sandwiches;Desserts;American (Traditional)
Castaways on the Island,2,131 Clinton St,1,Restaurants
Fox Hollow Sports Bar,4.5,N3287 County Rd OA,11,American (Traditional);Sports Bars
Arterial,3.5,1003 16th St S,17,Bars;American (Traditional)
Three Rivers Lodge River View Restaurant and Bar,3,111 Front St S,30,Bars;American (New);Burgers
Pappi’s Taqueria y Mas,4,83 Buol Rd,2,Food Trucks;Mexican
Tequila Mexican Restaurant,3,515 West Ave N,22,Mexican
Ardie’s Restaurant / Flipside Pub & Grill,3,400 Lang Dr,31,American (Traditional);Sports Bars;Pubs
Midway Deli,4.5,N5610 County Rd Ot,13,Delis
Great Harvest Bread Company,4,58 Copeland Ave,9,Bakeries;Sandwiches
Barre Country Diner,4.5,W4007 Country Rd 0,8,Diners;Breakfast & Brunch;Pizza
China Max,4,Valley View Mall,6,Chinese
China Star,2.5,4202 Mormon Coulee Rd,30,Chinese
Kramer’s Bar & Grill,4,1123 3rd St S,8,Restaurants
Manny’s Mexican Cocina,3.5,301 Hampton Ct,102,Mexican
El Cerrito,4,306 Sand Lake Rd,15,Mexican
Nutbush City Limits,3.5,3264 George St,34,Bars;Breakfast & Brunch;American (Traditional)
Tom Sawyer’s Bar & Grill,3.5,136 Clinton St,27,Bars;Burgers;Mexican
Golden China,3.5,920 W City Hwy 16,7,Chinese
Famous Dave’s Bar-B-Que,4,3055 State Highway 16,34,Barbeque;American (Traditional);Comfort Food
Great Wall,2.5,322 Main St,23,Chinese;Asian Fusion
Al’s State Road Pizzeria,3.5,2242 State Rd,11,Pizza
QDOBA Mexican Eats,4,127 S 3rd St,15,Mexican;Fast Food
Noodles & Company,1.5,9417 State Road-16,4,Salad;Soup;Noodles
Outback Steakhouse,3,311 Hampton Ct,41,Steakhouses
Alpine Inn,3.5,W5717 Bliss Rd,21,Bars;Burgers;American (Traditional)
Angelini’s Ristorante,3,1427 State Hwy 35,42,Italian;Pizza
Super Buffet,2,206 Copeland Ave,15,Chinese;Buffets
Lindy’s Subs & Salads,3.5,221 Main St,24,Sandwiches;Salad
Olive Garden Italian Restaurant,3.5,9413 State Rd 16,50,Italian;Salad;Soup
Pettibone Boat Club,2.5,S Pettibone Dr,35,Burgers;American (Traditional);Sandwiches
Blue Moon Restaurant,3.5,716 2nd Ave N,60,American (Traditional);Breakfast & Brunch
JavaVino,4,2311 State Rd,36,Wine Bars;Coffee & Tea;Breakfast & Brunch
The Ridge,3.5,W2782 State Rd 33,6,Bars;American (Traditional)
Las Margaritas,3,115 5th Ave S,4,Mexican;Salad;Beer Bar
Hunan Chinese Restaurant & Lounge,2.5,318 4th St S,30,Chinese
Marge’s On Rose,3,833 Rose St,43,Breakfast & Brunch
Heroes Bar and Grill,4,101 Sky Harbour Dr,4,Bars;Sandwiches
China Buffet,2.5,1611 Losey Blvd S,17,Chinese
The Verse Lounge & Grill,5,717 Rose St,1,Lounges;American (Traditional)
Jersey Mike’s Subs,4.5,1200 County Rd Ph,8,Sandwiches;Fast Food;Delis
Fish’s Bar,4,1452 Caledonia St,5,Dive Bars;Tacos
Quillin’s,5,24 S Walnut St,1,Grocery;Delis
Angry’s Way Out,5,N5914 County Rd Zz,1,Bars;American (Traditional);Chicken Wings
T-Jo’s Pizza,3.5,1717 George St,20,Pizza;Sandwiches;Tacos
Bean Juice,4.5,1014 19th St S,14,Coffee & Tea;Sandwiches
Burrachos Fresh Mexican Grill,3.5,9432 State Rd 16,27,Mexican
Sloopy’s Alma Mater,3,163 Copeland Ave,9,Chicken Wings;Pizza;Sandwiches
B.A. Burrito,3,40 Copeland Ave,38,Tex-Mex;Mexican
Boot Hill Pub,3.5,1501 Saint Andrew St,8,Pubs;Burgers;Sandwiches
Dewey’s Side Street Saloon,3,621 Saint Paul St,2,Bars;American (Traditional);Music Venues
Coney Island,3,114 4th St S,8,Hot Dogs;Burgers
