Symbol,Side,Cxl,Qty,Price,Bid,Ask,Date1,Date2,TradeID,TradeTiSS,Label,Exbkr,TradeCommType,SourceCommission,Account,OrderID,GTL,GTL-STA,Trailer,Info,Clr,Val1,Val2
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909154,02,854300
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909168,02,854300
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909177,02,854300
CERS,SS,NEW,100,2.365000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909188,02,0
CERS,SS,NEW,300,2.3600008543,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909190,02,854300
CERS,SS,NEW,200,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909193,02,854300
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909196,02,854300
CERS,SS,NEW,300,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909219,02,854300
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909224,02,854300
CERS,SS,NEW,100,2.365000,2.360000,2.370000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909672,04,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,910892,11,854300
CERS,SS,NEW,100,2.365000,2.360000,2.370000,06/14,06/19,1706149900003,10:25,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,930540,59,854300
CERS,SS,NEW,100,2.365000,2.360000,2.370000,06/14,06/19,1706149900003,10:27,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,939982,02,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900003,10:27,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,939993,02,854300
CERS,SS,NEW,100,2.365000,2.360000,2.370000,06/14,06/19,1706149900003,10:27,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,939995,02,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900003,10:27,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,939998,02,0
CERS,SS,NEW,100,2.3600008543,2.360000,2.370000,06/14,06/19,1706149900003,10:27,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,944321,31,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900003,10:29,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,960876,30,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900003,10:30,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,969012,00,854300
CERS,SS,NEW,200,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:33,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,010998,07,854300
CERS,SS,NEW,200,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:33,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,011008,07,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:33,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,011010,07,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:33,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,016697,32,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:36,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,049583,07,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:37,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,064327,35,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:41,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,109761,37,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:43,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,129108,07,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:45,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,150153,00,0
CERS,SS,NEW,100,2.3600008543,2.360000,2.370000,06/14,06/19,1706149900004,10:45,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,150161,00,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:45,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,157527,37,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:46,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,166779,20,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:47,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,179141,09,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:47,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,179188,09,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:49,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,210527,54,854300
CERS,SS,NEW,100,2.365000,2.360000,2.370000,06/14,06/19,1706149900004,10:50,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,218921,45,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:51,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,221916,02,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:53,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,244663,50,854300
CERS,SS,NEW,300,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,259293,38,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,259305,38,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,259310,38,0
CERS,SS,NEW,100,2.3600008543,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,259314,38,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,259318,38,854300
CERS,SS,NEW,100,2.365000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,259334,38,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,261525,45,854300
CERS,SS,NEW,300,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264219,56,854300
CERS,SS,NEW,300,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264232,56,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264238,56,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264241,56,854300
CERS,SS,NEW,100,2.360000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264245,56,854300
CERS,SS,NEW,200,2.350000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264248,56,854300
